device_type,device_type_encoded,age_months,cpu_usage_percent,cpu_temperature_celsius,memory_usage_percent,memory_available_gb,memory_total_gb,battery_health_percent,battery_cycle_count,battery_charging_encoded,system_uptime_hours,days_since_last_update,disk_age_months,disk_temperature_celsius,read_errors,write_errors,pending_sectors,disk_health_score,cpu_score,memory_score,battery_score,system_score,overall_health_percent,remaining_months
laptop,1,4.2,50.5,63.8,39.8,19.3,32,95.0,110.0,1.0,82.1,34.0,0.3,28.0,0,0.0,0,100.0,94.5,100.0,100.0,98.0,98.4,44.7
laptop,1,35.2,59.6,66.3,41.8,9.3,16,70.6,1006.0,0.0,1858.2,44.0,14.9,27.0,0,0.0,0,100.0,87.3,100.0,56.8,73.0,83.3,36.7
laptop,1,6.2,28.1,53.9,60.8,6.3,16,92.6,187.0,0.0,16.4,28.0,16.8,27.0,0,0.0,0,100.0,100.0,99.0,100.0,100.0,99.8,55.2
desktop,0,9.7,19.1,55.4,36.5,10.2,16,-1.0,-1.0,-1.0,280.4,28.0,21.3,25.0,0,0.0,0,100.0,100.0,100.0,100.0,92.0,98.4,50.7
laptop,1,7.8,46.0,56.7,37.1,5.0,8,89.2,307.0,0.0,2739.3,18.0,3.5,36.0,0,0.0,0,100.0,100.0,100.0,99.6,68.0,96.7,43.8
laptop,1,70.1,59.5,73.0,36.9,5.0,8,60.0,1500.0,1.0,284.0,53.0,40.4,23.0,0,0.0,0,90.0,78.0,100.0,42.0,80.5,75.6,0.0
desktop,0,81.8,73.7,86.5,68.9,2.5,8,-1.0,-1.0,-1.0,150.9,132.0,21.4,29.0,0,0.0,0,100.0,48.1,77.3,100.0,65.4,73.0,11.7
laptop,1,22.4,76.9,60.9,55.2,3.6,8,75.9,834.0,0.0,56.1,44.0,21.1,26.0,0,0.0,0,100.0,88.0,96.8,70.2,93.0,88.4,27.3
desktop,0,29.5,53.3,65.2,38.2,19.8,32,-1.0,-1.0,-1.0,266.6,55.0,14.0,34.0,0,0.0,0,100.0,91.4,100.0,100.0,79.5,93.3,46.1
desktop,0,36.7,93.7,67.8,34.8,20.9,32,-1.0,-1.0,-1.0,726.1,76.0,1.3,32.0,0,0.0,0,100.0,64.8,100.0,100.0,57.0,80.8,50.1
laptop,1,30.6,15.9,59.8,53.4,7.5,16,78.9,822.0,0.0,1894.3,62.0,18.8,25.0,0,0.0,0,100.0,100.0,100.0,74.9,64.0,90.1,33.4
desktop,0,56.9,86.7,77.8,51.2,7.8,16,-1.0,-1.0,-1.0,326.4,91.0,8.8,33.0,0,0.0,0,100.0,55.7,100.0,100.0,61.9,79.1,19.8
desktop,0,56.8,53.4,74.6,36.6,20.3,32,-1.0,-1.0,-1.0,219.5,77.0,8.6,27.0,0,0.0,0,100.0,78.2,100.0,100.0,68.5,87.2,32.3
laptop,1,2.1,30.8,56.4,47.7,4.2,8,99.3,69.0,0.0,2158.8,8.0,7.4,34.0,0,0.0,0,100.0,100.0,100.0,100.0,80.0,98.0,60.0
laptop,1,65.4,28.6,73.5,47.6,16.8,32,59.2,1500.0,0.0,139.4,150.0,26.6,39.0,0,0.0,0,95.0,81.1,100.0,41.4,63.5,75.7,5.4
desktop,0,51.5,71.1,72.8,45.1,17.6,32,-1.0,-1.0,-1.0,2340.3,113.0,35.3,30.0,0,0.0,0,95.0,73.6,100.0,100.0,35.5,77.7,34.9
desktop,0,52.6,33.3,63.2,40.7,9.5,16,-1.0,-1.0,-1.0,4.2,88.0,21.1,39.0,0,0.0,0,100.0,95.5,100.0,100.0,71.0,92.8,9.7
desktop,0,27.8,49.6,58.0,47.2,8.5,16,-1.0,-1.0,-1.0,20.7,53.0,17.6,29.0,0,0.0,0,100.0,100.0,100.0,100.0,88.5,97.7,44.9
desktop,0,71.7,91.0,81.0,62.2,12.1,32,-1.0,-1.0,-1.0,94.3,96.0,32.9,26.0,0,0.0,0,95.0,45.9,97.4,100.0,69.3,75.6,12.4
desktop,0,60.8,81.4,81.3,56.2,14.0,32,-1.0,-1.0,-1.0,2.9,122.0,57.3,31.0,0,0.0,0,90.0,54.0,100.0,100.0,66.5,76.5,8.5
desktop,0,17.8,37.8,60.3,44.6,8.9,16,-1.0,-1.0,-1.0,1628.2,12.0,59.5,25.0,0,0.0,0,90.0,99.6,100.0,100.0,80.0,92.9,11.2
desktop,0,18.8,15.8,59.2,59.0,3.3,8,-1.0,-1.0,-1.0,144.8,35.0,12.9,29.0,0,0.0,0,100.0,100.0,94.4,100.0,97.5,98.4,45.3
laptop,1,39.1,31.8,61.8,54.6,14.5,32,72.1,1043.0,0.0,14.3,81.0,21.3,28.0,0,0.0,0,100.0,97.5,100.0,58.9,74.5,86.6,17.9
laptop,1,6.4,68.7,63.6,49.6,4.0,8,95.4,225.0,1.0,462.1,24.0,19.9,29.0,0,0.0,0,100.0,87.5,100.0,100.0,92.0,96.1,41.9
desktop,0,69.1,19.0,74.8,63.3,11.8,32,-1.0,-1.0,-1.0,86.7,157.0,38.0,31.0,0,0.0,0,90.0,79.3,96.0,100.0,62.7,82.5,20.0
desktop,0,39.0,80.2,71.3,62.8,6.0,16,-1.0,-1.0,-1.0,7.4,77.0,4.4,28.0,0,0.0,0,100.0,72.0,96.6,100.0,76.5,86.2,45.0
desktop,0,2.4,82.3,61.2,38.5,4.9,8,-1.0,-1.0,-1.0,653.9,23.0,19.5,34.0,0,0.0,0,100.0,84.2,100.0,100.0,92.0,93.7,20.2
laptop,1,20.3,44.5,59.9,54.2,3.7,8,83.0,656.0,1.0,290.3,40.0,3.0,33.0,0,0.0,0,100.0,100.0,97.6,82.4,87.0,93.9,39.1
desktop,0,35.7,73.4,66.6,45.3,17.5,32,-1.0,-1.0,-1.0,41.4,30.0,1.5,39.0,0,0.0,0,100.0,81.4,100.0,100.0,100.0,94.4,51.7
laptop,1,16.1,72.8,60.7,61.2,12.4,32,84.2,470.0,1.0,293.6,14.0,58.6,31.0,0,0.0,0,90.0,89.9,98.6,89.8,92.0,91.4,12.1
laptop,1,46.5,69.3,67.2,32.8,10.7,16,61.0,1360.0,0.0,163.0,91.0,1.4,31.0,0,0.0,0,100.0,82.2,100.0,43.4,69.9,78.4,3.1
desktop,0,6.2,63.5,57.1,59.4,3.2,8,-1.0,-1.0,-1.0,23.9,14.0,23.2,27.0,0,0.0,0,100.0,94.6,93.6,100.0,100.0,97.1,48.8
laptop,1,65.2,42.3,76.6,67.2,5.2,16,57.9,1500.0,1.0,114.1,48.0,66.2,38.0,0,0.0,0,80.0,76.0,91.4,40.5,91.0,71.9,0.0
laptop,1,0.2,48.3,60.2,28.9,11.4,16,100.0,6.0,1.0,157.0,24.0,62.2,40.0,0,0.0,0,80.0,99.7,100.0,100.0,100.0,94.9,7.8
desktop,0,9.6,29.1,52.9,51.5,7.8,16,-1.0,-1.0,-1.0,138.1,35.0,4.6,25.0,0,0.0,0,100.0,100.0,100.0,100.0,97.5,99.5,60.0
desktop,0,57.8,69.5,78.8,51.4,15.6,32,-1.0,-1.0,-1.0,21.5,103.0,1.7,36.0,0,0.0,0,100.0,64.1,100.0,100.0,68.6,82.9,10.4
laptop,1,84.0,67.1,79.6,58.0,3.4,8,56.8,1500.0,0.0,167.6,158.0,26.2,28.0,0,0.0,0,95.0,63.6,95.2,39.8,62.6,70.1,0.0
desktop,0,28.0,67.0,68.6,45.1,8.8,16,-1.0,-1.0,-1.0,3648.8,50.0,24.3,29.0,0,0.0,0,95.0,81.2,100.0,100.0,58.0,84.5,43.6
desktop,0,72.7,80.1,75.4,46.7,17.1,32,-1.0,-1.0,-1.0,511.7,99.0,1.4,27.0,0,0.0,0,100.0,66.2,100.0,100.0,61.0,82.1,0.0
laptop,1,77.9,47.2,79.0,40.0,4.8,8,58.4,1500.0,0.0,13.7,158.0,6.2,30.0,0,0.0,0,100.0,71.5,100.0,40.9,62.6,74.4,0.0
laptop,1,54.4,23.1,70.7,48.4,8.2,16,60.0,1500.0,1.0,2704.6,114.0,41.4,26.0,0,0.0,0,90.0,85.0,100.0,42.0,35.4,72.8,14.7
laptop,1,23.2,77.2,64.3,35.4,20.7,32,78.3,832.0,0.0,88.3,38.0,20.4,27.0,0,0.0,0,100.0,83.1,100.0,73.7,96.0,88.8,33.8
desktop,0,73.0,93.4,79.9,47.1,8.5,16,-1.0,-1.0,-1.0,8.3,151.0,23.0,23.0,0,0.0,0,100.0,45.8,100.0,100.0,63.3,76.4,22.5
laptop,1,41.6,13.1,61.1,40.1,19.2,32,54.7,1500.0,0.0,17.6,74.0,5.8,27.0,0,0.0,0,100.0,98.5,100.0,38.3,78.0,82.0,17.7
desktop,0,28.4,68.9,67.0,62.0,6.1,16,-1.0,-1.0,-1.0,4154.9,71.0,1.0,25.0,0,0.0,0,100.0,82.6,97.6,100.0,47.5,83.8,51.0
laptop,1,19.7,68.2,60.6,53.7,3.7,8,85.9,522.0,1.0,1318.9,20.0,23.2,30.0,0,0.0,0,100.0,91.9,97.6,87.2,80.0,92.4,29.6
desktop,0,31.5,22.4,59.7,50.4,15.9,32,-1.0,-1.0,-1.0,35.4,71.0,23.1,24.0,0,0.0,0,100.0,100.0,100.0,100.0,79.5,95.9,48.9
laptop,1,19.5,64.2,61.7,35.3,20.7,32,79.6,751.0,1.0,11.2,37.0,15.7,24.0,0,0.0,0,100.0,91.9,100.0,78.4,96.5,92.2,38.7
desktop,0,38.4,35.7,68.5,35.9,10.3,16,-1.0,-1.0,-1.0,485.3,66.0,1.6,35.0,0,0.0,0,100.0,88.1,100.0,100.0,74.0,91.2,45.3
desktop,0,0.7,83.5,67.3,59.8,3.2,8,-1.0,-1.0,-1.0,596.2,8.0,18.8,37.0,0,0.0,0,100.0,74.6,93.6,100.0,92.0,89.5,3.7
desktop,0,56.9,71.3,76.0,58.6,3.3,8,-1.0,-1.0,-1.0,8.1,91.0,23.9,24.0,0,0.0,0,100.0,68.6,94.4,100.0,69.9,83.4,6.3
desktop,0,27.4,45.3,58.6,57.7,13.5,32,-1.0,-1.0,-1.0,626.4,55.0,6.1,26.0,0,0.0,0,100.0,100.0,100.0,100.0,79.5,95.9,60.0
desktop,0,67.6,49.8,70.1,64.8,2.8,8,-1.0,-1.0,-1.0,4202.2,95.0,8.1,34.0,0,0.0,0,100.0,85.9,84.6,100.0,37.5,80.2,0.0
laptop,1,38.2,67.2,69.9,46.6,17.1,32,67.7,1167.0,0.0,15.2,66.0,19.8,32.0,0,0.0,0,100.0,79.3,100.0,52.8,82.0,81.2,25.3
desktop,0,76.4,35.7,74.0,34.4,5.3,8,-1.0,-1.0,-1.0,1138.0,107.0,4.2,24.0,0,0.0,0,100.0,80.4,100.0,100.0,48.1,83.7,0.0
desktop,0,49.3,71.8,76.0,37.8,19.9,32,-1.0,-1.0,-1.0,4100.6,84.0,2.9,30.0,0,0.0,0,100.0,68.4,100.0,100.0,41.0,78.7,26.7
laptop,1,71.9,18.4,72.8,65.7,11.0,32,55.8,1500.0,1.0,1050.0,111.0,25.3,25.0,0,0.0,0,95.0,82.1,93.2,39.1,47.7,72.8,0.0
desktop,0,20.5,20.7,56.5,57.5,3.4,8,-1.0,-1.0,-1.0,141.1,41.0,57.0,30.0,0,0.0,0,90.0,100.0,95.2,100.0,94.5,94.9,13.5
desktop,0,72.1,22.3,67.9,57.3,6.8,16,-1.0,-1.0,-1.0,4.0,132.0,20.3,34.0,0,0.0,0,100.0,88.9,100.0,100.0,65.4,89.8,0.0
desktop,0,4.4,73.0,63.2,31.8,21.8,32,-1.0,-1.0,-1.0,451.3,9.0,9.0,38.0,0,18.0,8,15.0,86.3,100.0,100.0,92.0,30.0,0.0
desktop,0,38.5,91.9,67.5,58.5,6.6,16,-1.0,-1.0,-1.0,12.3,51.0,27.1,33.0,0,0.0,0,95.0,66.8,100.0,100.0,89.5,86.4,42.7
laptop,1,10.6,63.1,62.3,45.8,17.4,32,89.8,349.0,0.0,19.2,19.0,2.1,35.0,0,0.0,0,100.0,91.5,100.0,97.1,100.0,97.2,50.6
laptop,1,36.1,85.5,69.4,47.9,8.3,16,68.2,1072.0,0.0,694.4,64.0,25.6,34.0,0,0.0,0,95.0,69.9,100.0,53.5,75.0,77.1,13.9
desktop,0,8.1,72.8,66.0,37.2,20.1,32,-1.0,-1.0,-1.0,537.8,27.0,33.4,19.0,0,0.0,0,95.0,82.5,100.0,100.0,92.0,91.6,36.7
laptop,1,81.3,61.0,78.7,49.9,16.0,32,59.2,1500.0,0.0,231.4,77.0,21.3,32.0,0,0.0,0,100.0,67.7,100.0,41.4,68.5,74.1,0.0
laptop,1,51.2,65.9,73.8,42.6,4.6,8,56.2,1500.0,1.0,149.3,73.0,0.7,29.0,0,0.0,0,100.0,74.3,100.0,39.3,78.5,76.2,12.0
laptop,1,7.7,55.1,59.0,39.7,9.6,16,93.8,276.0,1.0,4.6,27.0,7.5,41.0,0,0.0,0,95.0,98.0,100.0,100.0,100.0,98.2,50.9
desktop,0,40.8,47.6,63.7,36.8,20.2,32,-1.0,-1.0,-1.0,542.4,70.0,4.7,27.0,0,0.0,0,100.0,94.8,100.0,100.0,72.0,92.8,27.1
laptop,1,0.6,35.6,54.5,50.9,3.9,8,99.5,17.0,0.0,42.6,17.0,30.2,24.0,0,0.0,0,95.0,100.0,99.2,100.0,100.0,98.6,39.7
desktop,0,6.1,83.2,59.9,40.2,4.8,8,-1.0,-1.0,-1.0,485.8,27.0,56.4,25.0,0,0.0,0,90.0,85.1,100.0,100.0,92.0,90.9,14.0
laptop,1,81.2,24.6,79.1,67.3,5.2,16,59.2,1500.0,1.0,2839.9,104.0,23.0,27.0,0,0.0,0,100.0,71.3,91.2,41.4,36.5,70.5,0.0
desktop,0,65.4,16.5,70.0,55.9,14.1,32,-1.0,-1.0,-1.0,361.8,125.0,25.8,25.0,0,0.0,0,95.0,86.0,100.0,100.0,58.2,85.9,0.0
desktop,0,16.6,61.2,63.8,38.4,19.7,32,-1.0,-1.0,-1.0,2390.2,40.0,22.3,27.0,0,0.0,0,100.0,90.2,100.0,100.0,63.0,89.7,49.7
desktop,0,72.6,63.3,74.4,52.6,3.8,8,-1.0,-1.0,-1.0,494.5,55.0,41.3,24.0,0,0.0,0,90.0,74.5,98.4,100.0,79.5,84.9,0.0
desktop,0,69.9,16.5,73.7,55.5,3.6,8,-1.0,-1.0,-1.0,2809.2,141.0,2.8,23.0,0,0.0,0,100.0,80.8,96.8,100.0,32.4,80.1,22.9
laptop,1,27.0,50.4,58.8,49.3,4.1,8,73.9,1014.0,1.0,29.6,75.0,7.8,25.0,0,0.0,0,100.0,99.8,100.0,61.5,77.5,88.1,35.6
desktop,0,31.3,34.0,60.2,49.0,8.2,16,-1.0,-1.0,-1.0,204.4,50.0,23.8,30.0,0,0.0,0,100.0,99.7,100.0,100.0,82.0,96.3,48.2
laptop,1,28.0,59.5,60.3,43.7,9.0,16,69.8,978.0,1.0,476.5,47.0,26.6,30.0,0,0.0,0,95.0,95.8,100.0,56.5,83.5,85.2,36.9
laptop,1,54.3,46.0,68.4,49.2,8.1,16,58.7,1500.0,1.0,168.0,56.0,54.2,28.0,0,0.0,0,90.0,88.2,100.0,41.1,79.0,77.7,5.9
laptop,1,55.6,84.5,77.1,43.5,18.1,32,58.8,1500.0,1.0,877.3,99.0,14.1,21.0,0,0.0,0,100.0,59.0,100.0,41.2,49.0,69.9,7.1
desktop,0,19.7,30.3,61.7,56.0,7.0,16,-1.0,-1.0,-1.0,2382.0,30.0,11.1,20.0,0,0.0,0,100.0,97.6,100.0,100.0,68.0,92.9,60.0
laptop,1,67.3,21.8,67.6,49.9,16.0,32,58.4,1500.0,1.0,214.3,84.0,5.2,31.0,0,0.0,0,100.0,89.4,100.0,40.9,65.0,79.1,0.6
laptop,1,79.5,28.9,74.3,65.0,5.6,16,56.4,1500.0,0.0,9.6,152.0,1.3,31.0,0,0.0,0,100.0,80.0,94.0,39.5,63.2,75.3,0.0
laptop,1,11.6,34.4,60.5,58.7,13.2,32,90.1,370.0,1.0,6.9,40.0,18.3,25.0,0,0.0,0,100.0,99.3,100.0,95.8,95.0,98.3,49.1
laptop,1,65.2,30.2,66.9,52.1,3.8,8,54.8,1500.0,0.0,15.5,120.0,33.0,32.0,0,0.0,0,95.0,90.3,98.4,38.4,66.7,77.4,0.0
desktop,0,20.2,45.4,61.1,46.3,4.3,8,-1.0,-1.0,-1.0,10.0,43.0,56.3,27.0,0,0.0,0,90.0,98.5,100.0,100.0,93.5,95.2,14.1
laptop,1,30.0,15.7,55.4,54.6,14.5,32,68.1,1080.0,1.0,469.4,47.0,15.4,27.0,0,0.0,0,100.0,100.0,100.0,53.3,83.5,86.7,29.2
desktop,0,53.1,79.0,70.0,33.4,10.7,16,-1.0,-1.0,-1.0,151.6,61.0,10.1,37.0,0,0.0,0,100.0,74.4,100.0,100.0,84.5,89.2,36.3
desktop,0,21.3,74.0,61.0,53.5,7.4,16,-1.0,-1.0,-1.0,318.8,49.0,31.1,26.0,0,0.0,0,95.0,89.0,100.0,100.0,82.5,91.7,38.9
desktop,0,28.5,25.9,60.9,60.8,6.3,16,-1.0,-1.0,-1.0,17.7,42.0,19.0,21.0,0,0.0,0,100.0,98.7,99.0,100.0,94.0,98.2,51.2
desktop,0,8.6,37.9,55.6,48.2,8.3,16,-1.0,-1.0,-1.0,1985.6,17.0,5.5,26.0,0,0.0,0,100.0,100.0,100.0,100.0,80.0,96.0,60.0
desktop,0,53.7,77.3,69.9,53.1,15.0,32,-1.0,-1.0,-1.0,161.2,80.0,17.8,34.0,0,0.0,0,100.0,75.2,100.0,100.0,75.0,87.6,7.5
laptop,1,19.8,64.8,60.9,29.5,22.6,32,81.3,629.0,0.0,14.2,38.0,16.5,20.0,0,0.0,0,100.0,92.8,100.0,83.4,96.0,93.6,34.2
laptop,1,2.2,25.8,56.0,36.5,20.3,32,96.1,77.0,0.0,1440.6,5.0,11.5,22.0,0,0.0,0,100.0,100.0,100.0,100.0,80.0,98.0,48.3
laptop,1,68.1,92.2,85.7,42.9,18.3,32,59.5,1500.0,1.0,138.3,62.0,21.4,36.0,0,0.0,0,100.0,36.0,100.0,41.6,84.0,67.8,0.0
desktop,0,2.2,57.1,59.3,38.0,19.9,32,-1.0,-1.0,-1.0,8.1,33.0,22.3,27.0,0,0.0,0,100.0,97.2,100.0,100.0,98.5,98.9,49.7
laptop,1,10.5,36.9,53.3,49.9,8.0,16,90.2,401.0,1.0,86.3,33.0,7.2,28.0,0,0.0,0,100.0,100.0,100.0,93.9,98.5,98.3,41.1
laptop,1,13.6,89.5,62.7,61.7,12.3,32,89.6,391.0,0.0,114.0,27.0,4.2,34.0,0,0.0,0,100.0,75.7,98.0,94.5,100.0,92.2,48.6
laptop,1,14.4,63.1,65.5,57.4,6.8,16,81.8,537.0,1.0,527.4,39.0,54.6,28.0,0,0.0,0,90.0,87.1,100.0,86.7,87.5,89.7,15.7
desktop,0,53.9,35.7,65.6,47.1,16.9,32,-1.0,-1.0,-1.0,4.6,77.0,1.6,27.0,0,0.0,0,100.0,92.2,100.0,100.0,76.5,93.0,11.3
desktop,0,61.7,83.2,82.3,59.1,3.3,8,-1.0,-1.0,-1.0,8.3,70.0,7.9,24.0,0,0.0,0,100.0,50.5,94.4,100.0,80.0,80.0,1.8
desktop,0,79.4,83.5,82.1,66.7,2.7,8,-1.0,-1.0,-1.0,272.8,163.0,11.9,27.0,0,0.0,0,100.0,50.6,81.6,100.0,54.0,72.3,12.2
desktop,0,1.9,90.3,65.6,35.2,5.2,8,-1.0,-1.0,-1.0,7.5,21.0,29.7,25.0,0,0.0,0,95.0,70.9,100.0,100.0,100.0,89.8,15.8
laptop,1,71.2,46.6,78.8,47.1,16.9,32,54.4,1500.0,1.0,473.4,92.0,8.5,23.0,0,0.0,0,100.0,71.9,100.0,38.1,61.8,73.7,0.0
laptop,1,10.8,18.2,53.5,46.5,8.6,16,92.2,293.0,0.0,2.0,15.0,10.1,24.0,0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,48.2
laptop,1,27.5,62.1,60.8,52.9,15.1,32,78.3,827.0,0.0,430.1,28.0,34.2,23.0,0,0.0,0,95.0,94.0,100.0,73.8,92.0,89.9,30.4
desktop,0,66.9,71.7,79.3,52.3,3.8,8,-1.0,-1.0,-1.0,127.9,68.0,51.2,40.0,0,0.0,0,90.0,62.3,98.4,100.0,81.0,81.6,15.4
desktop,0,12.4,67.9,57.5,29.7,22.5,32,-1.0,-1.0,-1.0,399.2,22.0,42.9,22.0,0,0.0,0,90.0,92.8,100.0,100.0,92.0,93.2,26.2
desktop,0,73.3,72.5,75.1,53.5,3.7,8,-1.0,-1.0,-1.0,2611.7,65.0,8.9,33.0,0,0.0,0,100.0,69.8,97.6,100.0,50.5,80.6,0.0
desktop,0,56.8,83.8,78.0,43.4,18.1,32,-1.0,-1.0,-1.0,64.2,118.0,48.1,26.0,0,0.0,0,90.0,58.0,100.0,100.0,66.9,77.8,21.5
laptop,1,58.0,51.6,71.5,66.8,10.6,32,54.9,1500.0,0.0,3666.2,128.0,26.0,20.0,0,0.0,0,95.0,83.3,91.8,38.4,33.9,71.3,0.0
laptop,1,29.1,47.6,60.0,42.6,9.2,16,76.2,845.0,0.0,39.7,47.0,54.7,24.0,0,0.0,0,90.0,100.0,100.0,70.3,91.5,89.2,15.6
laptop,1,53.6,14.5,64.0,51.3,15.6,32,61.4,1450.0,1.0,3070.4,91.0,26.0,23.0,0,0.0,0,95.0,94.4,100.0,44.0,37.9,77.1,12.6
desktop,0,27.0,64.9,68.5,49.6,4.0,8,-1.0,-1.0,-1.0,22.0,54.0,8.6,22.0,0,0.0,0,100.0,82.1,100.0,100.0,88.0,92.2,60.0
desktop,0,66.2,25.8,72.8,58.0,6.7,16,-1.0,-1.0,-1.0,22.4,88.0,19.3,34.0,0,0.0,0,100.0,82.1,100.0,100.0,71.0,88.8,12.7
laptop,1,71.5,49.8,72.4,49.4,4.0,8,58.5,1500.0,1.0,604.5,134.0,1.3,29.0,0,0.0,0,100.0,82.6,100.0,40.9,57.2,76.6,0.0
desktop,0,69.5,53.8,71.4,44.6,17.7,32,-1.0,-1.0,-1.0,1885.0,69.0,69.2,37.0,0,0.0,0,80.0,82.5,100.0,100.0,60.5,80.8,2.2
desktop,0,25.4,71.4,60.0,40.7,19.0,32,-1.0,-1.0,-1.0,11.7,44.0,41.0,26.0,0,0.0,0,90.0,91.4,100.0,100.0,93.0,93.0,27.9
desktop,0,58.0,64.3,78.0,51.4,7.8,16,-1.0,-1.0,-1.0,92.9,129.0,21.3,30.0,0,0.0,0,100.0,67.7,100.0,100.0,65.7,83.4,27.3
desktop,0,63.6,78.2,80.7,57.7,3.4,8,-1.0,-1.0,-1.0,13.1,82.0,32.7,28.0,0,0.0,0,95.0,57.1,95.2,100.0,74.0,79.5,0.4
laptop,1,48.1,22.7,62.7,49.9,16.0,32,57.1,1500.0,0.0,11.4,72.0,10.4,25.0,0,0.0,0,100.0,96.2,100.0,40.0,79.0,81.9,11.0
desktop,0,60.8,43.7,74.5,38.3,19.7,32,-1.0,-1.0,-1.0,1960.3,123.0,27.7,20.0,0,0.0,0,95.0,79.7,100.0,100.0,46.4,81.7,1.7
desktop,0,2.7,44.8,61.4,61.1,12.5,32,-1.0,-1.0,-1.0,2068.1,30.0,2.3,28.0,0,0.0,0,100.0,98.0,98.7,100.0,80.0,95.1,45.7
laptop,1,57.3,66.3,74.1,57.7,13.5,32,56.5,1500.0,1.0,144.2,136.0,14.5,22.0,0,0.0,0,100.0,73.7,100.0,39.5,65.0,74.8,7.9
desktop,0,44.7,80.0,69.5,36.0,10.2,16,-1.0,-1.0,-1.0,1.7,83.0,18.0,26.0,0,0.0,0,100.0,74.7,100.0,100.0,73.5,87.1,47.3
laptop,1,17.3,18.6,50.1,55.6,14.2,32,83.1,496.0,0.0,101.7,51.0,2.3,32.0,0,0.0,0,100.0,100.0,100.0,88.2,89.5,96.0,54.5
laptop,1,68.5,72.2,76.2,63.2,11.8,32,59.4,1500.0,1.0,1801.8,134.0,2.1,22.0,0,0.0,0,100.0,67.9,96.2,41.6,45.2,71.3,1.4
desktop,0,46.7,14.0,61.1,57.7,13.5,32,-1.0,-1.0,-1.0,552.4,57.0,21.7,31.0,0,0.0,0,100.0,98.5,100.0,100.0,78.5,95.2,32.7
laptop,1,71.3,35.6,75.4,65.2,5.6,16,57.5,1500.0,1.0,1594.3,111.0,41.5,24.0,0,0.0,0,90.0,78.3,93.8,40.2,47.7,71.0,0.0
