device_type,age_months,cpu_usage_percent,cpu_temperature_celsius,memory_usage_percent,memory_available_gb,memory_total_gb,battery_health_percent,battery_cycle_count,battery_charging_status,system_uptime_hours,days_since_last_update,cpu_score,memory_score,battery_score,system_score,overall_health_percent,remaining_months
laptop,70.1,59.5,73.0,36.9,5.0,8,60.0,1500,charging,284.0,53.0,78.0,100,42.0,80.5,73.1,0
desktop,81.8,73.7,86.5,68.9,2.5,8,,,,150.9,132.0,48.1,77.3,100,65.4,61.4,11.7
laptop,22.4,76.9,60.9,55.2,3.6,8,75.9,834,discharging,56.1,44.0,88.0,96.8,70.2,93.0,84.3,27.3
desktop,29.5,53.3,65.2,38.2,19.8,32,,,,266.6,55.0,91.4,100,100,79.5,88.8,46.1
desktop,36.7,93.7,67.8,34.8,20.9,32,,,,726.1,76.0,64.8,100,100,57.0,73.9,50.1
laptop,30.6,15.9,59.8,53.4,7.5,16,78.9,822,discharging,1894.3,62.0,100,100,74.9,64.0,85.8,33.4
desktop,56.9,86.7,77.8,51.2,7.8,16,,,,326.4,91.0,55.7,100,100,61.9,71.5,19.8
desktop,56.8,53.4,74.6,36.6,20.3,32,,,,219.5,77.0,78.2,100,100,68.5,81.1,32.3
laptop,2.1,30.8,56.4,47.7,4.2,8,99.3,69,discharging,2158.8,8.0,100,100,100,80.0,98.6,66.6
laptop,65.4,28.6,73.5,47.6,16.8,32,59.2,1500,discharging,139.4,150.0,81.1,100,41.4,63.5,70.7,5.4
desktop,51.5,71.1,72.8,45.1,17.6,32,,,,2340.3,113.0,73.6,100,100,35.5,69.2,36.5
desktop,52.6,33.3,63.2,40.7,9.5,16,,,,4.2,88.0,95.5,100,100,71.0,90.3,9.7
desktop,27.8,49.6,58.0,47.2,8.5,16,,,,20.7,53.0,100,100,100,88.5,94.6,44.9
desktop,71.7,91.0,81.0,62.2,12.1,32,,,,94.3,96.0,45.9,97.4,100,69.3,67.9,12.4
desktop,60.8,81.4,81.3,56.2,14.0,32,,,,2.9,122.0,54.0,100,100,66.5,70.3,8.5
desktop,17.8,37.8,60.3,44.6,8.9,16,,,,1628.2,12.0,99.6,100,100,80.0,94.0,78.2
desktop,18.8,15.8,59.2,59.0,3.3,8,,,,144.8,35.0,100,94.4,100,97.5,97.5,45.3
laptop,39.1,31.8,61.8,54.6,14.5,32,72.1,1043,discharging,14.3,81.0,97.5,100,58.9,74.5,84.6,17.9
laptop,6.4,68.7,63.6,49.6,4.0,8,95.4,225,charging,462.1,24.0,87.5,100,100,92.0,95.0,41.9
desktop,69.1,19.0,74.8,63.3,11.8,32,,,,86.7,157.0,79.3,96.0,100,62.7,78.4,20.0
desktop,39.0,80.2,71.3,62.8,6.0,16,,,,7.4,77.0,72.0,96.6,100,76.5,81.0,45.0
desktop,2.4,82.3,61.2,38.5,4.9,8,,,,653.9,23.0,84.2,100,100,92.0,89.3,20.2
laptop,20.3,44.5,59.9,54.2,3.7,8,83.0,656,charging,290.3,40.0,100,97.6,82.4,87.0,92.6,39.1
desktop,35.7,73.4,66.6,45.3,17.5,32,,,,41.4,30.0,81.4,100,100,100,92.7,51.7
laptop,16.1,72.8,60.7,61.2,12.4,32,84.2,470,charging,293.6,14.0,89.9,98.6,89.8,92.0,92.1,38.5
laptop,46.5,69.3,67.2,32.8,10.7,16,61.0,1360,discharging,163.0,91.0,82.2,100,43.4,69.9,70.7,3.1
desktop,6.2,63.5,57.1,59.4,3.2,8,,,,23.9,14.0,94.6,93.6,100,100,96.3,82.2
laptop,65.2,42.3,76.6,67.2,5.2,16,57.9,1500,charging,114.1,48.0,76.0,91.4,40.5,91.0,69.6,0
laptop,0.2,48.3,60.2,28.9,11.4,16,100,6,charging,157.0,24.0,99.7,100,100,100,100,70.2
desktop,9.6,29.1,52.9,51.5,7.8,16,,,,138.1,35.0,100,100,100,97.5,100,66.2
desktop,57.8,69.5,78.8,51.4,15.6,32,,,,21.5,103.0,64.1,100,100,68.6,74.3,10.4
laptop,84.0,67.1,79.6,58.0,3.4,8,56.8,1500,discharging,167.6,158.0,63.6,95.2,39.8,62.6,64.5,0
desktop,28.0,67.0,68.6,45.1,8.8,16,,,,3648.8,50.0,81.2,100,100,58.0,79.1,43.6
desktop,72.7,80.1,75.4,46.7,17.1,32,,,,511.7,99.0,66.2,100,100,61.0,73.0,0
laptop,77.9,47.2,79.0,40.0,4.8,8,58.4,1500,discharging,13.7,158.0,71.5,100,40.9,62.6,68.3,0
laptop,54.4,23.1,70.7,48.4,8.2,16,60.0,1500,charging,2704.6,114.0,85.0,100,42.0,35.4,67.7,14.7
laptop,23.2,77.2,64.3,35.4,20.7,32,78.3,832,discharging,88.3,38.0,83.1,100,73.7,96.0,86.6,33.8
desktop,73.0,93.4,79.9,47.1,8.5,16,,,,8.3,151.0,45.8,100,100,63.3,66.8,22.5
laptop,41.6,13.1,61.1,40.1,19.2,32,54.7,1500,discharging,17.6,74.0,98.5,100,38.3,78.0,76.3,17.7
desktop,28.4,68.9,67.0,62.0,6.1,16,,,,4154.9,71.0,82.6,97.6,100,47.5,76.5,51.0
laptop,19.7,68.2,60.6,53.7,3.7,8,85.9,522,charging,1318.9,20.0,91.9,97.6,87.2,80.0,89.1,29.6
desktop,31.5,22.4,59.7,50.4,15.9,32,,,,35.4,71.0,100,100,100,79.5,92.8,61.4
laptop,19.5,64.2,61.7,35.3,20.7,32,79.6,751,charging,11.2,37.0,91.9,100,78.4,96.5,90.7,38.7
desktop,38.4,35.7,68.5,35.9,10.3,16,,,,485.3,66.0,88.1,100,100,74.0,89.4,45.3
desktop,0.7,83.5,67.3,59.8,3.2,8,,,,596.2,8.0,74.6,93.6,100,92.0,84.4,3.7
desktop,56.9,71.3,76.0,58.6,3.3,8,,,,8.1,91.0,68.6,94.4,100,69.9,77.7,6.3
desktop,27.4,45.3,58.6,57.7,13.5,32,,,,626.4,55.0,100,100,100,79.5,93.8,61.6
desktop,67.6,49.8,70.1,64.8,2.8,8,,,,4202.2,95.0,85.9,84.6,100,37.5,72.1,0
laptop,38.2,67.2,69.9,46.6,17.1,32,67.7,1167,discharging,15.2,66.0,79.3,100,52.8,82.0,76.3,25.3
desktop,76.4,35.7,74.0,34.4,5.3,8,,,,1138.0,107.0,80.4,100,100,48.1,76.2,0
desktop,49.3,71.8,76.0,37.8,19.9,32,,,,4100.6,84.0,68.4,100,100,41.0,68.5,26.7
laptop,71.9,18.4,72.8,65.7,11.0,32,55.8,1500,charging,1050.0,111.0,82.1,93.2,39.1,47.7,68.1,0
desktop,20.5,20.7,56.5,57.5,3.4,8,,,,141.1,41.0,100,95.2,100,94.5,98.1,61.0
desktop,72.1,22.3,67.9,57.3,6.8,16,,,,4.0,132.0,88.9,100,100,65.4,85.6,0
desktop,4.4,73.0,63.2,31.8,21.8,32,,,,451.3,9.0,86.3,100,100,92.0,93.9,57.2
desktop,38.5,91.9,67.5,58.5,6.6,16,,,,12.3,51.0,66.8,100,100,89.5,81.9,43.4
laptop,10.6,63.1,62.3,45.8,17.4,32,89.8,349,discharging,19.2,19.0,91.5,100,97.1,100,97.7,50.6
laptop,36.1,85.5,69.4,47.9,8.3,16,68.2,1072,discharging,694.4,64.0,69.9,100,53.5,75.0,70.1,13.9
desktop,8.1,72.8,66.0,37.2,20.1,32,,,,537.8,27.0,82.5,100,100,92.0,92.4,67.1
laptop,81.3,61.0,78.7,49.9,16.0,32,59.2,1500,discharging,231.4,77.0,67.7,100,41.4,68.5,66.1,0
laptop,51.2,65.9,73.8,42.6,4.6,8,56.2,1500,charging,149.3,73.0,74.3,100,39.3,78.5,68.2,12.0
laptop,7.7,55.1,59.0,39.7,9.6,16,93.8,276,charging,4.6,27.0,98.0,100,100,100,97.6,50.9
desktop,40.8,47.6,63.7,36.8,20.2,32,,,,542.4,70.0,94.8,100,100,72.0,88.8,27.1
laptop,0.6,35.6,54.5,50.9,3.9,8,99.5,17,discharging,42.6,17.0,100,99.2,100,100,100,63.4
desktop,6.1,83.2,59.9,40.2,4.8,8,,,,485.8,27.0,85.1,100,100,92.0,91.3,58.1
laptop,81.2,24.6,79.1,67.3,5.2,16,59.2,1500,charging,2839.9,104.0,71.3,91.2,41.4,36.5,60.4,0
desktop,65.4,16.5,70.0,55.9,14.1,32,,,,361.8,125.0,86.0,100,100,58.2,80.4,0
desktop,16.6,61.2,63.8,38.4,19.7,32,,,,2390.2,40.0,90.2,100,100,63.0,85.7,75.2
desktop,72.6,63.3,74.4,52.6,3.8,8,,,,494.5,55.0,74.5,98.4,100,79.5,83.0,0
desktop,69.9,16.5,73.7,55.5,3.6,8,,,,2809.2,141.0,80.8,96.8,100,32.4,69.3,22.9
laptop,27.0,50.4,58.8,49.3,4.1,8,73.9,1014,charging,29.6,75.0,99.8,100,61.5,77.5,85.1,35.6
desktop,31.3,34.0,60.2,49.0,8.2,16,,,,204.4,50.0,99.7,100,100,82.0,93.6,54.7
laptop,28.0,59.5,60.3,43.7,9.0,16,69.8,978,charging,476.5,47.0,95.8,100,56.5,83.5,81.5,36.9
laptop,54.3,46.0,68.4,49.2,8.1,16,58.7,1500,charging,168.0,56.0,88.2,100,41.1,79.0,76.2,5.9
laptop,55.6,84.5,77.1,43.5,18.1,32,58.8,1500,charging,877.3,99.0,59.0,100,41.2,49.0,62.2,7.1
desktop,19.7,30.3,61.7,56.0,7.0,16,,,,2382.0,30.0,97.6,100,100,68.0,89.6,75.1
laptop,67.3,21.8,67.6,49.9,16.0,32,58.4,1500,charging,214.3,84.0,89.4,100,40.9,65.0,73.3,0.6
laptop,79.5,28.9,74.3,65.0,5.6,16,56.4,1500,discharging,9.6,152.0,80.0,94.0,39.5,63.2,69.5,0
laptop,11.6,34.4,60.5,58.7,13.2,32,90.1,370,charging,6.9,40.0,99.3,100,95.8,95.0,98.7,49.1
laptop,65.2,30.2,66.9,52.1,3.8,8,54.8,1500,discharging,15.5,120.0,90.3,98.4,38.4,66.7,72.0,0
desktop,20.2,45.4,61.1,46.3,4.3,8,,,,10.0,43.0,98.5,100,100,93.5,99.4,48.9
laptop,30.0,15.7,55.4,54.6,14.5,32,68.1,1080,charging,469.4,47.0,100,100,53.3,83.5,84.6,29.2
desktop,53.1,79.0,70.0,33.4,10.7,16,,,,151.6,61.0,74.4,100,100,84.5,84.7,36.3
desktop,21.3,74.0,61.0,53.5,7.4,16,,,,318.8,49.0,89.0,100,100,82.5,90.0,54.6
desktop,28.5,25.9,60.9,60.8,6.3,16,,,,17.7,42.0,98.7,99.0,100,94.0,98.7,51.2
desktop,8.6,37.9,55.6,48.2,8.3,16,,,,1985.6,17.0,100,100,100,80.0,93.4,87.3
desktop,53.7,77.3,69.9,53.1,15.0,32,,,,161.2,80.0,75.2,100,100,75.0,83.7,7.5
laptop,19.8,64.8,60.9,29.5,22.6,32,81.3,629,discharging,14.2,38.0,92.8,100,83.4,96.0,92.5,34.2
laptop,2.2,25.8,56.0,36.5,20.3,32,96.1,77,discharging,1440.6,5.0,100,100,100,80.0,95.7,48.3
laptop,68.1,92.2,85.7,42.9,18.3,32,59.5,1500,charging,138.3,62.0,36.0,100,41.6,84.0,56.5,0
desktop,2.2,57.1,59.3,38.0,19.9,32,,,,8.1,33.0,97.2,100,100,98.5,98.5,85.5
laptop,10.5,36.9,53.3,49.9,8.0,16,90.2,401,charging,86.3,33.0,100,100,93.9,98.5,96.5,41.1
laptop,13.6,89.5,62.7,61.7,12.3,32,89.6,391,discharging,114.0,27.0,75.7,98.0,94.5,100,90.0,48.6
laptop,14.4,63.1,65.5,57.4,6.8,16,81.8,537,charging,527.4,39.0,87.1,100,86.7,87.5,90.2,45.6
desktop,53.9,35.7,65.6,47.1,16.9,32,,,,4.6,77.0,92.2,100,100,76.5,89.2,11.3
desktop,61.7,83.2,82.3,59.1,3.3,8,,,,8.3,70.0,50.5,94.4,100,80.0,71.5,1.8
desktop,79.4,83.5,82.1,66.7,2.7,8,,,,272.8,163.0,50.6,81.6,100,54.0,60.8,12.2
desktop,1.9,90.3,65.6,35.2,5.2,8,,,,7.5,21.0,70.9,100,100,100,89.0,15.8
laptop,71.2,46.6,78.8,47.1,16.9,32,54.4,1500,charging,473.4,92.0,71.9,100,38.1,61.8,66.9,0
laptop,10.8,18.2,53.5,46.5,8.6,16,92.2,293,discharging,2.0,15.0,100,100,100,100,99.9,48.2
laptop,27.5,62.1,60.8,52.9,15.1,32,78.3,827,discharging,430.1,28.0,94.0,100,73.8,92.0,87.3,30.4
desktop,66.9,71.7,79.3,52.3,3.8,8,,,,127.9,68.0,62.3,98.4,100,81.0,79.3,15.4
desktop,12.4,67.9,57.5,29.7,22.5,32,,,,399.2,22.0,92.8,100,100,92.0,94.7,69.6
desktop,73.3,72.5,75.1,53.5,3.7,8,,,,2611.7,65.0,69.8,97.6,100,50.5,74.0,0
desktop,56.8,83.8,78.0,43.4,18.1,32,,,,64.2,118.0,58.0,100,100,66.9,75.2,31.0
laptop,58.0,51.6,71.5,66.8,10.6,32,54.9,1500,discharging,3666.2,128.0,83.3,91.8,38.4,33.9,63.3,0
laptop,29.1,47.6,60.0,42.6,9.2,16,76.2,845,discharging,39.7,47.0,100,100,70.3,91.5,88.0,40.6
laptop,53.6,14.5,64.0,51.3,15.6,32,61.4,1450,charging,3070.4,91.0,94.4,100,44.0,37.9,72.5,12.6
desktop,27.0,64.9,68.5,49.6,4.0,8,,,,22.0,54.0,82.1,100,100,88.0,88.0,66.1
desktop,66.2,25.8,72.8,58.0,6.7,16,,,,22.4,88.0,82.1,100,100,71.0,84.7,12.7
laptop,71.5,49.8,72.4,49.4,4.0,8,58.5,1500,charging,604.5,134.0,82.6,100,40.9,57.2,68.5,0
desktop,69.5,53.8,71.4,44.6,17.7,32,,,,1885.0,69.0,82.5,100,100,60.5,80.1,17.7
desktop,25.4,71.4,60.0,40.7,19.0,32,,,,11.7,44.0,91.4,100,100,93.0,96.2,66.6
desktop,58.0,64.3,78.0,51.4,7.8,16,,,,92.9,129.0,67.7,100,100,65.7,76.3,27.3
desktop,63.6,78.2,80.7,57.7,3.4,8,,,,13.1,82.0,57.1,95.2,100,74.0,75.3,0.4
laptop,48.1,22.7,62.7,49.9,16.0,32,57.1,1500,discharging,11.4,72.0,96.2,100,40.0,79.0,75.7,11.0
desktop,60.8,43.7,74.5,38.3,19.7,32,,,,1960.3,123.0,79.7,100,100,46.4,77.5,1.7
desktop,2.7,44.8,61.4,61.1,12.5,32,,,,2068.1,30.0,98.0,98.7,100,80.0,94.5,45.7
laptop,57.3,66.3,74.1,57.7,13.5,32,56.5,1500,charging,144.2,136.0,73.7,100,39.5,65.0,67.3,7.9
desktop,44.7,80.0,69.5,36.0,10.2,16,,,,1.7,83.0,74.7,100,100,73.5,83.7,47.3
laptop,17.3,18.6,50.1,55.6,14.2,32,83.1,496,discharging,101.7,51.0,100,100,88.2,89.5,93.5,54.5
laptop,68.5,72.2,76.2,63.2,11.8,32,59.4,1500,charging,1801.8,134.0,67.9,96.2,41.6,45.2,63.8,1.4
desktop,46.7,14.0,61.1,57.7,13.5,32,,,,552.4,57.0,98.5,100,100,78.5,91.7,32.7
laptop,71.3,35.6,75.4,65.2,5.6,16,57.5,1500,charging,1594.3,111.0,78.3,93.8,40.2,47.7,67.1,0
laptop,45.0,80.5,67.7,55.7,7.1,16,55.3,1500,charging,1472.0,70.0,76.8,100,38.7,60.0,69.1,8.1
laptop,80.8,20.0,78.8,67.5,5.2,16,56.5,1500,charging,596.1,117.0,71.9,91.0,39.5,59.1,63.5,0
desktop,39.1,78.2,72.3,60.1,6.4,16,,,,884.6,89.0,71.5,99.9,100,50.5,71.8,40.8
desktop,24.8,26.7,55.3,57.5,13.6,32,,,,310.0,73.0,100,100,100,70.5,91.7,52.9
laptop,61.6,39.9,67.5,55.0,14.4,32,58.0,1500,charging,20.3,109.0,89.5,100,40.6,67.9,71.9,0
laptop,70.8,29.7,74.4,43.2,4.5,8,58.0,1500,discharging,776.6,95.0,79.8,100,40.6,49.5,65.6,0
desktop,1.4,79.1,65.6,29.3,5.7,8,,,,58.7,20.0,80.5,100,100,100,91.6,15.8
laptop,31.3,44.5,63.3,41.7,18.6,32,67.2,1181,charging,10.3,49.0,95.4,100,52.1,90.5,83.1,33.5
laptop,42.0,46.9,69.1,68.3,10.2,32,59.7,1500,charging,153.8,77.0,87.3,90.0,41.8,76.5,71.6,18
desktop,75.5,57.9,73.3,35.1,10.4,16,,,,132.3,104.0,78.2,100,100,68.5,80.1,0
laptop,47.6,82.2,75.0,47.3,16.9,32,66.1,1289,charging,197.6,97.0,65.0,100,50.5,61.2,66.5,18.9
desktop,81.4,37.7,78.0,51.4,7.8,16,,,,2274.7,142.0,73.4,100,100,32.3,67.4,0.9
laptop,59.9,17.0,63.7,56.0,14.1,32,56.3,1500,charging,22.7,112.0,94.8,100,39.4,67.6,73.6,0
desktop,37.7,57.2,65.6,37.0,5.0,8,,,,644.8,43.0,89.3,100,100,85.5,92.5,48.4
laptop,48.0,24.4,63.5,40.6,4.8,8,60.7,1306,discharging,1799.1,74.0,95.1,100,43.0,58.0,76.7,17.3
desktop,49.9,26.6,61.6,34.1,10.5,16,,,,3614.7,60.0,97.8,100,100,53.0,86.3,41.1
laptop,25.2,61.3,65.3,46.6,8.5,16,70.3,997,discharging,70.9,51.0,88.1,100,56.5,89.5,80.7,45.1
laptop,49.7,56.4,71.8,38.1,19.8,32,55.4,1500,discharging,19.8,79.0,80.9,100,38.8,75.5,71.3,13.5
laptop,21.2,23.1,55.7,39.2,9.7,16,79.9,683,discharging,19.2,50.0,100,100,81.3,90.0,93.0,42.1
laptop,9.2,31.1,58.3,45.8,4.3,8,90.6,365,discharging,701.1,18.0,100,100,96.1,92.0,96.7,51.1
laptop,37.4,43.2,67.0,51.0,15.7,32,57.2,1496,discharging,4034.0,68.0,90.2,100,40.0,49.0,71.9,18
desktop,38.2,27.6,62.0,39.0,9.8,16,,,,1868.1,75.0,97.2,100,100,57.5,84.6,52.3
laptop,56.9,24.0,72.1,51.7,3.9,8,56.7,1500,discharging,138.9,63.0,83.1,99.2,39.7,83.5,74.0,0.6
laptop,37.8,46.5,60.0,42.5,4.6,8,57.3,1402,charging,76.7,31.0,100,100,40.1,99.5,82.6,18
desktop,50.1,62.0,71.8,45.2,8.8,16,,,,141.2,69.0,78.7,100,100,80.5,86.1,12.9
laptop,26.3,30.3,55.2,53.5,7.4,16,74.3,822,discharging,1388.7,60.0,100,100,68.4,65.0,85.9,45.7
laptop,41.1,21.9,60.4,56.4,7.0,16,57.1,1500,charging,4189.8,66.0,99.4,100,40.0,50.0,75.0,16.8
desktop,41.1,17.0,56.8,40.6,4.8,8,,,,260.9,80.0,100,100,100,67.0,91.2,38.7
laptop,48.1,32.8,66.4,53.6,7.4,16,56.8,1500,charging,1088.7,103.0,91.0,100,39.8,48.6,70.3,18
desktop,22.1,83.3,61.6,52.8,3.8,8,,,,643.3,44.0,82.8,98.4,100,85.0,88.6,66.2
laptop,67.7,58.5,76.0,51.2,15.6,32,55.9,1500,discharging,4.1,98.0,73.7,100,39.1,69.1,66.2,0
laptop,58.9,21.3,63.9,63.4,5.9,16,57.1,1500,discharging,2070.6,102.0,94.5,95.9,40.0,48.7,72.6,0
desktop,58.4,84.6,76.3,40.7,9.5,16,,,,17.8,101.0,60.4,100,100,68.8,74.2,3.9
desktop,18.3,46.5,56.2,39.4,9.7,16,,,,105.5,33.0,100,100,100,98.5,100,43.4
laptop,52.6,81.1,69.7,43.5,4.5,8,55.4,1500,charging,255.8,76.0,73.4,100,38.8,69.0,68.3,1.4
desktop,55.8,65.2,68.6,46.7,17.0,32,,,,85.8,39.0,81.9,100,100,95.5,90.3,7.0
laptop,43.6,47.8,61.9,63.8,5.8,16,58.7,1367,charging,79.2,50.0,97.3,95.4,41.1,90.0,78.2,18
laptop,32.1,79.1,71.9,59.4,13.0,32,66.8,1059,charging,1984.3,59.0,71.7,100,51.5,65.5,72.1,30.6
desktop,72.2,17.4,66.9,53.8,3.7,8,,,,1852.2,70.0,90.3,97.6,100,60.0,81.8,7.7
desktop,65.4,68.7,80.0,59.9,12.8,32,,,,131.7,47.0,62.2,100,100,91.5,83.9,28.9
desktop,32.4,30.5,62.3,53.9,3.7,8,,,,683.5,62.0,96.8,97.6,100,76.0,91.1,40.7
laptop,64.1,91.1,82.2,49.2,4.1,8,59.7,1500,discharging,515.0,87.0,43.6,100,41.8,63.5,58.1,0
laptop,23.3,36.3,59.2,58.1,3.4,8,80.6,696,charging,553.7,63.0,100,95.2,80.9,75.5,87.9,26.8
desktop,9.7,62.0,56.9,55.6,14.2,32,,,,1.3,9.0,95.2,100,100,100,98.1,62.7
desktop,14.0,20.8,57.9,49.6,8.1,16,,,,8.7,31.0,100,100,100,99.5,98.9,81.1
laptop,41.7,53.4,62.7,35.7,20.6,32,59.5,1500,charging,130.7,75.0,94.9,100,41.6,77.5,75.4,7.4
desktop,32.2,22.8,64.0,53.9,3.7,8,,,,1528.3,68.0,94.4,97.6,100,61.0,84.6,57.6
desktop,10.0,67.2,57.6,59.9,3.2,8,,,,968.1,23.0,93.1,93.6,100,80.0,90.7,61.8
desktop,0.7,27.1,56.7,49.7,8.1,16,,,,494.6,16.0,100,100,100,92.0,96.4,17.8
laptop,12.6,89.3,60.6,45.1,17.6,32,88.9,482,charging,3776.4,30.0,78.8,100,89.1,68.0,84.6,41.1
desktop,80.7,92.7,81.1,45.1,8.8,16,,,,3243.0,170.0,44.2,100,100,29.3,54.8,0
laptop,53.5,43.5,70.1,53.0,3.8,8,55.7,1500,discharging,3242.6,74.0,85.9,98.4,39.0,46.0,67.4,0
laptop,11.4,75.5,59.4,35.7,5.1,8,90.1,355,charging,1829.9,16.0,89.8,100,96.7,80.0,91.1,53.0
laptop,18.1,82.8,60.9,37.8,19.9,32,84.2,590,discharging,28.5,33.0,84.2,100,84.8,98.5,90.7,35.9
desktop,8.6,77.5,59.8,60.6,3.2,8,,,,52.5,25.0,89.0,92.9,100,100,95.2,54.5
desktop,77.1,16.4,77.1,64.2,2.9,8,,,,37.2,157.0,75.1,86.2,100,62.7,73.2,16.9
laptop,14.1,58.8,64.0,45.1,8.8,16,86.5,443,charging,322.5,34.0,90.9,100,91.4,90.0,93.2,39.8
desktop,41.9,85.0,71.7,39.0,4.9,8,,,,116.5,61.0,67.1,100,100,84.5,84.2,37.7
laptop,83.1,76.5,81.6,60.2,12.7,32,56.1,1500,discharging,27.8,63.0,56.1,99.8,39.3,83.5,65.1,0
desktop,44.5,75.2,76.2,39.0,4.9,8,,,,462.6,95.0,66.7,100,100,61.5,76.2,49.6
desktop,29.8,81.3,71.2,38.3,4.9,8,,,,672.5,47.0,71.1,100,100,83.5,85.3,50.5
laptop,70.3,78.9,84.2,46.2,17.2,32,55.5,1500,charging,13.1,132.0,50.3,100,38.8,65.4,57.9,0
laptop,77.2,81.8,80.3,44.2,4.5,8,54.8,1500,discharging,9.6,113.0,55.5,100,38.4,67.5,59.5,0
laptop,82.0,72.2,81.4,68.5,10.1,32,60.0,1500,discharging,119.8,112.0,58.2,89.8,42.0,67.6,62.0,0
laptop,61.2,90.6,83.1,64.4,5.7,16,55.2,1500,discharging,116.1,79.0,42.3,94.7,38.6,75.5,56.0,0
desktop,82.5,24.3,78.8,64.6,2.8,8,,,,414.5,80.0,71.9,84.9,100,67.0,72.6,0
laptop,60.5,14.1,66.3,69.0,5.0,16,56.4,1500,discharging,20.1,106.0,91.2,89.2,39.5,68.3,72.9,0
desktop,6.2,81.9,62.2,34.5,10.5,16,,,,261.9,21.0,83.2,100,100,92.0,91.1,63.2
laptop,28.4,93.7,73.1,38.2,19.8,32,80.1,779,charging,3.3,28.0,57.3,100,78.0,100,79.2,36.9
desktop,55.5,35.3,64.5,56.1,7.0,16,,,,31.8,35.0,93.7,100,100,97.5,98.0,27.0
desktop,16.8,12.2,50.5,60.7,6.3,16,,,,8.1,33.0,100,99.2,100,98.5,99.9,46.5
desktop,15.5,85.3,63.5,32.3,10.8,16,,,,292.9,17.0,78.3,100,100,92.0,89.9,68.5
laptop,56.1,78.7,74.4,38.0,19.8,32,57.3,1500,discharging,92.6,106.0,68.4,100,40.1,68.3,67.1,3.9
laptop,10.1,74.4,59.9,63.3,2.9,8,91.8,271,discharging,167.6,37.0,90.2,87.2,100,96.5,92.5,59.8
laptop,7.3,57.3,61.1,50.5,7.9,16,95.9,184,discharging,10.5,15.0,95.5,100,100,100,99.5,63.2
laptop,47.3,18.6,61.4,64.9,11.2,32,61.8,1368,discharging,5.0,80.0,98.0,94.1,44.5,75.0,78.5,10.4
desktop,74.7,38.2,72.1,49.4,16.2,32,,,,179.2,96.0,83.1,100,100,61.3,80.7,3.0
laptop,81.7,29.4,73.5,54.7,14.5,32,56.6,1500,charging,87.6,118.0,81.1,100,39.6,66.9,70.3,0
desktop,69.0,53.8,71.9,57.2,6.8,16,,,,5.0,82.0,81.8,100,100,74.0,83.2,0
