serial_number,model,disk_age_months,disk_temperature_celsius,read_errors,write_errors,pending_sectors,failure,disk_health_score,disk_remaining_months
PL1311LAG3DWUH,Hitachi HDS5C4040ALE630,34.7,27.0,0,0.0,0,0,95.0,35.4
Z300TXH6,ST4000DM000,27.0,23.0,0,0.0,0,0,95.0,42.8
PL1321LAG31YVH,Hitachi HDS5C4040ALE630,36.3,22.0,0,0.0,0,0,90.0,32.1
WD-WCC4N0295729,WDC WD30EFRX,20.4,23.0,0,0.0,0,0,100.0,51.6
PL2331LAGMPDRJ,HGST HMS5C4040BLE640,23.5,29.0,0,0.0,0,0,100.0,48.5
JK11A8B9J7YZ7F,Hitachi HDS722020ALA330,61.4,33.0,0,0.0,0,0,80.0,8.5
Z30251FX,ST4000DM000,17.6,23.0,0,0.0,0,0,100.0,54.4
Z300GYQ2,ST4000DM000,32.6,29.0,0,0.0,0,0,95.0,37.4
S301GM6Z,ST4000DM000,5.2,23.0,0,0.0,0,0,100.0,60.0
PL1331LAGSP4XH,HGST HMS5C4040ALE640,17.6,36.0,0,0.0,0,0,100.0,54.4
MJ1311YNG319KA,Hitachi HDS5C3030ALA630,53.4,24.0,0,0.0,0,0,90.0,16.7
Z30111C8,ST4000DM000,23.4,24.0,0,0.0,0,0,100.0,48.6
Z300ZRPR,ST4000DM000,26.1,33.0,0,0.0,0,0,95.0,43.6
MK0311YHGK755A,Hitachi HDS723030ALA640,47.6,37.0,0,0.0,0,0,90.0,22.0
JK1101B9J240EF,Hitachi HDS722020ALA330,56.3,20.0,1,0.0,2,0,75.0,11.8
Z304JHVS,ST4000DM000,5.1,25.0,0,0.0,0,0,100.0,60.0
MJ1323YNG0Z7SC,Hitachi HDS5C3030ALA630,56.2,28.0,0,0.0,0,0,90.0,14.2
S3010ZZ2,ST4000DM000,11.1,39.0,0,0.0,0,0,100.0,60.0
Z4D049G1,ST6000DX000,13.9,35.0,0,0.0,0,0,100.0,58.1
Z3057MGC,ST4000DM000,3.1,25.0,0,0.0,0,0,100.0,60.0
Z300WQ9L,ST4000DM000,27.3,37.0,0,0.0,0,0,95.0,42.5
W300BN5H,ST4000DM000,33.5,26.0,0,0.0,0,0,95.0,36.6
PL1331LAGT5BVH,HGST HMS5C4040ALE640,15.8,27.0,0,0.0,0,0,100.0,56.2
Z301119K,ST4000DM000,26.2,27.0,0,0.0,0,0,95.0,43.5
Z304WLMH,ST4000DM000,0.6,23.0,0,0.0,0,0,100.0,60.0
Z4D067LV,ST6000DX000,12.7,27.0,0,0.0,0,0,100.0,59.3
JK1130YAHS16VT,Hitachi HDS722020ALA330,66.1,30.0,0,0.0,0,0,80.0,4.7
MJ1311YNG3E9VA,Hitachi HDS5C3030ALA630,51.4,24.0,0,0.0,0,0,90.0,18.5
MJ0351YNGA71HA,Hitachi HDS5C3030ALA630,37.3,27.0,0,0.0,0,0,90.0,31.2
S300Z5XE,ST4000DM000,7.5,25.0,0,0.0,0,0,100.0,60.0
MJ1311YNG3GAEA,Hitachi HDS5C3030ALA630,54.8,27.0,0,0.0,0,0,90.0,15.5
Z304L9L6,ST4000DM000,2.8,33.0,0,0.0,0,0,100.0,60.0
WD-WMC4N2524237,WDC WD30EFRX,11.1,23.0,0,0.0,0,0,100.0,60.0
Z304J59Q,ST4000DM000,3.3,36.0,0,0.0,0,0,100.0,60.0
Z300SSNK,ST4000DM000,24.6,29.0,0,0.0,0,0,95.0,45.0
PL2331LAGUDJXJ,HGST HMS5C4040ALE640,18.4,24.0,0,0.0,0,0,100.0,53.6
PL1331LAH14EAH,HGST HMS5C4040BLE640,0.3,26.0,0,0.0,0,0,100.0,60.0
PL2331LAGMZBDJ,HGST HMS5C4040BLE640,19.5,34.0,0,0.0,0,0,100.0,52.5
Z305D6FJ,ST4000DM000,0.6,29.0,0,0.0,0,0,100.0,60.0
PL2331LAGPTU2J,HGST HMS5C4040ALE640,22.5,27.0,0,0.0,0,0,100.0,49.5
MJ1311YNG56L7A,Hitachi HDS5C3030ALA630,47.8,26.0,0,0.0,0,0,90.0,21.8
JK1101B9JP76JU,Hitachi HDS722020ALA330,61.1,29.0,0,0.0,1,0,70.0,7.6
Z300XDNN,ST4000DM000,25.1,25.0,0,0.0,0,0,95.0,44.6
PL2331LAGUJPTJ,HGST HMS5C4040ALE640,18.1,25.0,0,0.0,0,0,100.0,53.9
S300X152,ST4000DM000,5.7,27.0,0,0.0,0,0,100.0,60.0
WD-WCC4N0943982,WDC WD30EFRX,21.9,21.0,0,0.0,0,0,100.0,50.1
Z304JXBJ,ST4000DM000,6.8,27.0,0,0.0,0,0,100.0,60.0
S3010M18,ST4000DM000,4.5,30.0,0,0.0,0,0,100.0,60.0
S300WDQW,ST4000DM000,8.9,29.0,0,0.0,0,0,100.0,60.0
PL2331LAGUKWAJ,HGST HMS5C4040ALE640,18.9,26.0,0,0.0,0,0,100.0,53.1
MJ1311YNG60XDA,Hitachi HDS5C3030ALA630,44.3,33.0,0,0.0,0,0,90.0,24.9
Z30273PH,ST4000DM000,11.6,20.0,0,2.0,0,0,97.0,58.6
Z30231KQ,ST4000DM000,14.6,34.0,0,0.0,0,0,100.0,57.4
Z3010BGZ,ST4000DM000,14.4,29.0,0,0.0,0,0,100.0,57.6
Z302AHHA,ST4000DM000,7.5,24.0,0,0.0,0,0,100.0,60.0
S300Z41P,ST4000DM000,4.3,33.0,0,0.0,0,0,100.0,60.0
Z3015LGJ,ST4000DM000,21.7,26.0,0,0.0,0,0,100.0,50.3
Z3025LB8,ST4000DM000,14.9,28.0,0,0.0,0,0,100.0,57.1
PL1331LAGTGT3H,HGST HMS5C4040ALE640,18.6,25.0,0,0.0,0,0,100.0,53.4
WD-WMC4N2814288,WDC WD30EFRX,16.3,29.0,0,0.0,0,0,100.0,55.7
MJ1311YNG2V7NA,Hitachi HDS5C3030ALA630,54.9,31.0,0,0.0,0,0,90.0,15.4
PL1311LAG1RZUA,Hitachi HDS5C4040ALE630,35.1,20.0,0,0.0,0,0,95.0,35.1
MJ0351YNG9UALA,Hitachi HDS5C3030ALA630,41.4,26.0,0,0.0,0,0,90.0,27.5
PL2331LAGUMV7J,HGST HMS5C4040ALE640,15.9,33.0,0,0.0,0,0,100.0,56.1
Z302G5QJ,ST4000DM000,14.0,17.0,0,0.0,0,0,100.0,58.0
Z3012XBQ,ST4000DM000,25.5,28.0,0,0.0,0,0,95.0,44.2
PL1331LAGSHY9H,HGST HMS5C4040ALE640,22.0,24.0,0,0.0,0,0,100.0,50.0
MJ1311YNG7AR7A,Hitachi HDS5C3030ALA630,48.0,24.0,0,0.0,0,0,90.0,21.6
Z30251WN,ST4000DM000,14.3,26.0,0,0.0,0,0,100.0,57.7
Z4D02GC3,ST6000DX000,13.0,27.0,0,0.0,0,0,100.0,59.0
MJ1311YNG782JA,Hitachi HDS5C3030ALA630,45.0,27.0,0,0.0,0,0,90.0,24.3
PL1311LAG1A2EA,Hitachi HDS5C4040ALE630,16.3,27.0,0,0.0,0,0,100.0,55.7
JK11A8B9J99GHF,Hitachi HDS722020ALA330,59.8,40.0,0,0.0,0,0,90.0,11.0
Z305DVX1,ST4000DM000,2.7,36.0,0,0.0,0,0,100.0,60.0
S300YPYN,ST4000DM000,6.0,36.0,0,0.0,0,0,100.0,60.0
WD-WCAYW1772100,WDC WD1600AAJS,41.2,27.0,0,0.0,0,0,90.0,27.7
Z304HTNZ,ST4000DM000,5.2,22.0,0,0.0,0,0,100.0,60.0
MJ0351YNG9UJJA,Hitachi HDS5C3030ALA630,40.9,27.0,0,0.0,0,0,90.0,28.0
MJ1311YNG61JEA,Hitachi HDS5C3030ALA630,45.2,27.0,0,0.0,0,0,90.0,24.1
S300YPQX,ST4000DM000,9.4,29.0,0,0.0,0,0,100.0,60.0
PL2331LAGN76TJ,HGST HMS5C4040BLE640,24.0,26.0,0,0.0,0,0,100.0,48.0
JK1171YBK1GKPF,Hitachi HDS722020ALA330,64.7,26.0,0,0.0,0,0,80.0,5.8
Z304LAP1,ST4000DM000,4.9,21.0,0,0.0,0,0,100.0,60.0
Z4D03XEB,ST6000DX000,9.2,20.0,0,0.0,0,0,100.0,60.0
Z4D02VQE,ST6000DX000,9.4,24.0,0,0.0,0,0,100.0,60.0
JK11A8B9J74DYF,Hitachi HDS722020ALA330,59.4,22.0,0,0.0,0,0,90.0,11.3
JK1105B8GB686X,Hitachi HDS722020ALA330,65.5,24.0,0,0.0,0,0,80.0,5.2
Z304L9AK,ST4000DM000,4.7,21.0,0,0.0,0,0,100.0,60.0
S3010TME,ST4000DM000,11.5,23.0,0,0.0,0,0,100.0,60.0
PL1331LAGM27BH,HGST HMS5C4040BLE640,21.2,23.0,0,0.0,0,0,100.0,50.8
Z305D2NT,ST4000DM000,1.9,29.0,0,0.0,0,0,100.0,60.0
PL1331LAGSH3UH,HGST HMS5C4040ALE640,20.2,26.0,0,0.0,0,0,100.0,51.8
S300Z4YJ,ST4000DM000,6.4,24.0,0,0.0,0,0,100.0,60.0
MK0331YHGU88BA,Hitachi HDS723030ALA640,40.5,26.0,0,0.0,0,0,90.0,28.4
Z305FGMB,ST4000DM000,4.6,31.0,0,0.0,0,0,100.0,60.0
S300Z62N,ST4000DM000,6.1,29.0,0,0.0,0,0,100.0,60.0
Z3025215,ST4000DM000,18.0,23.0,0,0.0,0,0,100.0,54.0
Z304HN6S,ST4000DM000,6.3,37.0,0,0.0,0,0,100.0,60.0
Z300K9E5,ST4000DM000,31.0,30.0,0,0.0,0,0,95.0,38.9
WD-WX71A94LD1KY,WDC WD5000LPVX,15.1,27.0,0,0.0,0,0,100.0,56.9
PL2331LAGN5PJJ,HGST HMS5C4040BLE640,20.3,29.0,0,0.0,0,0,100.0,51.7
JK1101B9GE2LYF,Hitachi HDS722020ALA330,63.0,34.0,0,0.0,0,0,80.0,7.2
WD-WCC4N0319651,WDC WD30EFRX,22.9,28.0,0,0.0,0,0,100.0,49.1
Z300WTF7,ST4000DM000,29.6,24.0,0,0.0,0,0,95.0,40.3
S30116BV,ST4000DM000,9.0,20.0,0,0.0,0,0,100.0,60.0
Z305B6WP,ST4000DM000,0.6,30.0,0,0.0,0,0,100.0,60.0
JK1101B9KN4ETF,Hitachi HDS722020ALA330,57.0,30.0,0,0.0,0,0,90.0,13.5
S301GN48,ST4000DM000,5.3,24.0,0,0.0,0,0,100.0,60.0
PL2331LAGMUPPJ,HGST HMS5C4040BLE640,19.9,28.0,0,0.0,0,0,100.0,52.1
Z304HZE9,ST4000DM000,1.9,26.0,0,0.0,0,0,100.0,60.0
WD-WMC4N2526065,WDC WD30EFRX,18.7,24.0,0,0.0,0,0,100.0,53.3
Z304QSP5,ST4000DM000,4.4,25.0,0,0.0,0,0,100.0,60.0
Z304HMBA,ST4000DM000,4.9,22.0,0,0.0,0,0,100.0,60.0
PL1331LAGT7AKH,HGST HMS5C4040ALE640,18.9,36.0,0,0.0,0,0,100.0,53.1
Z300VLF2,ST4000DM000,24.5,25.0,0,0.0,0,0,95.0,45.1
Z3011WQC,ST4000DM000,26.6,37.0,0,0.0,0,0,95.0,43.1
S3006Y95,ST4000DM000,21.8,24.0,0,0.0,0,0,100.0,50.2
PL2331LAGST25J,HGST HMS5C4040ALE640,20.1,27.0,0,0.0,0,0,100.0,51.9
Z300GYR9,ST4000DM000,33.4,23.0,0,0.0,0,0,95.0,36.7
Z305DHP5,ST4000DM000,2.6,31.0,0,0.0,0,0,100.0,60.0
Z303MZ9Y,ST4000DM000,2.3,29.0,0,0.0,0,0,100.0,60.0
PL1331LAGLXUJH,HGST HMS5C4040BLE640,19.7,26.0,0,0.0,0,0,100.0,52.3
PL2331LAGMK4JJ,HGST HMS5C4040BLE640,23.2,24.0,0,0.0,0,0,100.0,48.8
MJ1323YNG1MTEC,Hitachi HDS5C3030ALA630,55.4,24.0,0,0.0,0,0,90.0,14.9
JK11A8B9J34A8F,Hitachi HDS722020ALA330,60.5,33.0,0,0.0,0,0,80.0,9.2
PL1331LAGRZ73H,HGST HMS5C4040ALE640,18.9,28.0,0,0.0,0,0,100.0,53.1
PL1331LAGBN1XH,HGST HDS5C4040ALE630,2.6,26.0,0,0.0,0,0,100.0,60.0
PL1331LAGTDNVH,HGST HMS5C4040ALE640,19.7,28.0,0,0.0,0,0,100.0,52.3
S3010HBL,ST4000DM000,8.7,35.0,0,0.0,0,0,100.0,60.0
PL1331LAGSB2UH,HGST HMS5C4040ALE640,20.9,29.0,0,0.0,0,0,100.0,51.1
MK0311YHGH5D8A,Hitachi HDS723030ALA640,48.0,38.0,0,0.0,0,0,90.0,21.6
Z302AHLA,ST4000DM000,9.4,25.0,0,0.0,0,0,100.0,60.0
Z300ZRVL,ST4000DM000,23.8,28.0,0,0.0,0,0,100.0,48.2
JK1170YAJAXEST,Hitachi HDS722020ALA330,64.4,31.0,0,0.0,0,0,80.0,6.1
Z300ZTXF,ST4000DM000,26.6,39.0,0,0.0,0,0,95.0,43.1
Z3025S0H,ST4000DM000,16.1,26.0,0,0.0,0,0,100.0,55.9
JK1101B9J3KWJF,Hitachi HDS722020ALA330,59.3,26.0,0,0.0,0,0,90.0,11.4
Z4D07KWB,ST6000DX000,12.8,26.0,0,0.0,0,0,100.0,59.2
Z300GZET,ST4000DM000,33.4,26.0,0,0.0,0,0,95.0,36.7
JK11A8B9HZ1MLF,Hitachi HDS722020ALA330,64.6,41.0,0,0.0,0,0,75.0,5.6
Z3020JGR,ST4000DM000,7.1,19.0,0,0.0,0,0,100.0,60.0
PL1321LAGAZG4H,Hitachi HDS5C4040ALE630,35.0,26.0,0,0.0,0,0,95.0,35.1
MJ1321YNG0R91A,Hitachi HDS5C3030ALA630,52.6,26.0,0,0.0,0,0,90.0,17.5
Z302B0PD,ST4000DM000,11.3,21.0,0,0.0,0,0,100.0,60.0
PL1331LAGSNLVH,HGST HMS5C4040ALE640,17.0,27.0,0,0.0,0,0,100.0,55.0
W300CKDH,ST4000DM000,30.7,27.0,0,0.0,0,0,95.0,39.2
Z3024KGR,ST4000DM000,8.5,17.0,0,0.0,0,0,100.0,60.0
Z305HJZM,ST4000DM000,1.3,35.0,0,0.0,0,0,100.0,60.0
PL2331LAGSSW3J,HGST HMS5C4040ALE640,20.7,30.0,0,0.0,0,0,100.0,51.3
JK11A8B9J7LH0F,Hitachi HDS722020ALA330,62.0,30.0,0,0.0,0,0,80.0,8.0
PL2331LAH4665J,HGST HMS5C4040BLE640,0.5,28.0,0,0.0,0,0,100.0,60.0
Z3026Z4W,ST4000DM000,14.5,22.0,0,0.0,0,0,100.0,57.5
Z3014P08,ST4000DM000,25.4,28.0,0,0.0,0,0,95.0,44.3
PL1331LAH265TH,HGST HMS5C4040BLE640,0.8,30.0,0,0.0,0,0,100.0,60.0
Z302SX6E,ST4000DM000,7.8,30.0,0,0.0,0,0,100.0,60.0
JK11A8YBKYYATF,Hitachi HDS722020ALA330,66.7,26.0,0,0.0,0,0,80.0,4.2
PL1331LAGS7PBH,HGST HMS5C4040ALE640,18.4,26.0,0,0.0,0,0,100.0,53.6
Z300WG83,ST4000DM000,29.1,33.0,0,0.0,0,0,95.0,40.8
PL2331LAGMBXPJ,HGST HMS5C4040BLE640,20.2,33.0,0,0.0,0,0,100.0,51.8
Z300PAN5,ST4000DM000,29.2,32.0,0,0.0,0,0,95.0,40.7
JK1101B8GNNT4S,Hitachi HDS722020ALA330,64.6,25.0,0,0.0,0,0,80.0,5.9
PL2331LAGRWV0J,HGST HMS5C4040ALE640,18.7,21.0,0,0.0,0,0,100.0,53.3
Z300ZTTY,ST4000DM000,26.6,21.0,0,0.0,0,0,95.0,43.1
Z30111C8,ST4000DM000,26.7,23.0,0,0.0,0,0,95.0,43.0
PL1311LAG3B2KH,Hitachi HDS5C4040ALE630,36.3,25.0,0,0.0,0,0,90.0,32.1
Z304KBR3,ST4000DM000,4.7,24.0,0,0.0,0,0,100.0,60.0
Z302AL9E,ST4000DM000,14.2,21.0,0,0.0,0,0,100.0,57.8
PL1331LAGLWUYH,HGST HMS5C4040BLE640,21.1,39.0,0,0.0,0,0,100.0,50.9
Z300W3KM,ST4000DM000,28.2,26.0,0,0.0,0,0,95.0,41.6
Z302DLXJ,ST4000DM000,11.4,23.0,0,0.0,0,0,100.0,60.0
PL1331LAGRYB1H,HGST HMS5C4040ALE640,18.6,22.0,0,0.0,0,0,100.0,53.4
PL1331LAGTASTH,HGST HMS5C4040ALE640,19.0,32.0,0,0.0,0,0,100.0,53.0
Z3041MNT,ST4000DM000,5.6,24.0,0,0.0,0,0,100.0,60.0
PL1331LAGT41NH,HGST HMS5C4040ALE640,15.4,20.0,0,0.0,0,0,100.0,56.6
Z304HKXJ,ST4000DM000,2.4,24.0,0,0.0,0,0,100.0,60.0
Z3040DW5,ST4000DM000,5.2,25.0,0,0.0,0,0,100.0,60.0
Z305FH0A,ST4000DM000,1.6,35.0,0,0.0,0,0,100.0,60.0
PL1331LAGR9T4H,HGST HMS5C4040ALE640,21.0,33.0,0,0.0,0,0,100.0,51.0
Z3059LJ1,ST4000DM000,2.8,28.0,0,0.0,0,0,100.0,60.0
Z4D032Z3,ST6000DX000,9.8,25.0,0,0.0,0,0,100.0,60.0
MJ1311YNG08PSA,Hitachi HDS5C3030ALA630,56.1,28.0,0,0.0,0,0,90.0,14.3
Z3029H3B,ST4000DM000,15.8,28.0,0,0.0,0,0,100.0,56.2
WD-WCC4N0317441,WDC WD30EFRX,25.0,23.0,0,0.0,0,0,95.0,44.6
PL1311LAG19Y7A,Hitachi HDS5C4040ALE630,38.8,23.0,0,0.0,0,0,90.0,29.9
PL2331LAGRWJ2J,HGST HMS5C4040ALE640,19.0,26.0,0,0.0,0,0,100.0,53.0
Z300PM8T,ST4000DM000,30.1,28.0,0,0.0,0,0,95.0,39.8
PL1331LAGLWTAH,HGST HMS5C4040BLE640,22.7,25.0,0,0.0,0,0,100.0,49.3
MJ1311YNG7DBMA,Hitachi HDS5C3030ALA630,44.5,31.0,0,0.0,0,0,90.0,24.8
WD-WX51E9370636,WDC WD5000LPVX,21.5,26.0,0,0.0,0,0,100.0,50.5
Z304HWKL,ST4000DM000,6.6,27.0,0,0.0,0,0,100.0,60.0
S301LVR5,ST4000DM000,2.5,26.0,0,0.0,0,0,100.0,60.0
W3005W0E,ST4000DM000,29.0,20.0,0,0.0,0,0,95.0,40.9
JK11A8YBKRWKPF,Hitachi HDS722020ALA330,29.7,32.0,0,0.0,0,0,95.0,40.2
Z305D6WT,ST4000DM000,1.1,29.0,0,0.0,0,0,100.0,60.0
JK1101B8KNB8WS,Hitachi HDS722020ALA330,56.8,29.0,0,0.0,0,0,90.0,13.7
PL1331LAGS2HLH,HGST HMS5C4040ALE640,18.8,24.0,0,0.0,0,0,100.0,53.2
Z3015LH4,ST4000DM000,22.7,33.0,0,0.0,0,0,100.0,49.3
MJ0351YNG9SKZA,Hitachi HDS5C3030ALA630,39.5,27.0,0,0.0,0,0,90.0,29.2
Z304JNT5,ST4000DM000,6.6,28.0,0,0.0,0,0,100.0,60.0
Z30250F0,ST4000DM000,17.6,26.0,0,0.0,0,0,100.0,54.4
PL2331LAGMUV0J,HGST HMS5C4040BLE640,21.2,28.0,0,0.0,0,0,100.0,50.8
Z300WY3N,ST4000DM000,25.3,25.0,0,0.0,0,0,95.0,44.4
WD-WXK1E72CZNX5,WDC WD5000BPKT,33.0,18.0,0,0.0,0,0,95.0,37.0
PL1331LAGSG63H,HGST HMS5C4040ALE640,18.5,34.0,0,0.0,0,0,100.0,53.5
Z302Q5L3,ST4000DM000,8.0,27.0,0,0.0,0,0,100.0,60.0
S300WCYV,ST4000DM000,5.7,36.0,0,0.0,0,0,100.0,60.0
Z303G3B4,ST4000DM000,2.5,32.0,0,0.0,0,0,100.0,60.0
PL1311LAG18H2A,Hitachi HDS5C4040ALE630,35.3,27.0,0,0.0,0,0,95.0,34.9
Z305GX31,ST4000DM000,1.9,31.0,0,0.0,0,0,100.0,60.0
S300Z617,ST4000DM000,10.9,24.0,0,0.0,0,0,100.0,60.0
Z4D0931Q,ST6000DX000,9.0,32.0,0,0.0,0,0,100.0,60.0
S301L855,ST4000DM000,5.1,25.0,0,0.0,0,0,100.0,60.0
Z304HTH4,ST4000DM000,4.2,22.0,0,0.0,0,0,100.0,60.0
MJ0351YNGA42UA,Hitachi HDS5C3030ALA630,40.4,25.0,0,0.0,0,0,90.0,28.4
Z3029ZCL,ST4000DM000,11.1,21.0,0,0.0,0,0,100.0,60.0
Z300X1SB,ST4000DM000,25.0,22.0,0,0.0,0,0,95.0,44.6
S301DHT5,ST4000DM000,4.3,29.0,0,0.0,0,0,100.0,60.0
Z4D05730,ST6000DX000,13.4,31.0,0,0.0,0,0,100.0,58.6
PL2331LAGRWJRJ,HGST HMS5C4040ALE640,21.9,28.0,0,0.0,0,0,100.0,50.1
PL2331LAGUJBRJ,HGST HMS5C4040ALE640,18.8,23.0,0,0.0,0,0,100.0,53.2
S2ZYJ9FFB13574,ST500LM012 HN,3.5,30.0,0,0.0,0,0,100.0,60.0
Z302R8MY,ST4000DM000,6.4,35.0,0,0.0,0,0,100.0,60.0
Z302SZEA,ST4000DM000,7.3,32.0,0,0.0,0,0,100.0,60.0
Z3025K82,ST4000DM000,18.3,21.0,0,0.0,0,0,100.0,53.7
W300BT0J,ST4000DM000,33.8,23.0,0,0.0,24,1,15.0,0.0
WD-WX61A24V5789,WDC WD5000LPVX,19.6,25.0,0,0.0,0,0,100.0,52.4
W300JN4V,ST4000DM000,31.1,32.0,0,0.0,0,0,95.0,38.9
Z300T7VM,ST4000DM000,25.1,30.0,0,0.0,0,0,95.0,44.6
Z4D03JWP,ST6000DX000,13.2,26.0,0,0.0,0,0,100.0,58.8
Z3025EXV,ST4000DM000,12.4,21.0,0,0.0,0,0,100.0,59.6
PL1331LAGTR3VH,HGST HMS5C4040ALE640,19.4,42.0,0,0.0,0,0,95.0,50.0
WD-WXK1H643LYWZ,WDC WD60EFRX,15.9,35.0,0,0.0,0,0,100.0,56.1
S301KQW6,ST4000DM000,4.2,25.0,0,0.0,0,0,100.0,60.0
Z3029FDF,ST4000DM000,15.0,35.0,0,0.0,0,0,100.0,57.0
S3010797,ST4000DM000,4.9,34.0,0,0.0,0,0,100.0,60.0
Z300WRRG,ST4000DM000,29.0,33.0,0,0.0,0,0,95.0,40.9
Z305DTV9,ST4000DM000,2.1,27.0,0,0.0,0,0,100.0,60.0
Z300XCYM,ST4000DM000,23.8,24.0,0,0.0,0,0,100.0,48.2
S300Z4P5,ST4000DM000,8.6,27.0,0,0.0,0,0,100.0,60.0
